t [s] y1 [] y2 [] y3 []
9.9990e-05   1.000000e-04    1.000000e+00   -1.000000e+00
4.0000e-01   5.967364e-01    8.950895e-01   -8.950895e-01
4.1000e-01   6.178021e-01    8.890170e-01   -8.890170e-01
4.2000e-01   6.392307e-01    8.827321e-01   -8.827321e-01
4.3000e-01   6.610277e-01    8.762312e-01   -8.762312e-01
4.4000e-01   6.831983e-01    8.695103e-01   -8.695103e-01
4.5000e-01   7.057479e-01    8.625657e-01   -8.625657e-01
4.6000e-01   7.286818e-01    8.553937e-01   -8.553937e-01
4.7000e-01   7.520055e-01    8.479903e-01   -8.479903e-01
4.8000e-01   7.757245e-01    8.403516e-01   -8.403516e-01
4.9000e-01   7.998443e-01    8.324737e-01   -8.324737e-01
5.0000e-01   8.243705e-01    8.243526e-01   -8.243526e-01
5.1000e-01   8.493089e-01    8.159843e-01   -8.159843e-01
5.2000e-01   8.746651e-01    8.073646e-01   -8.073646e-01
5.3000e-01   9.004451e-01    7.984893e-01   -7.984893e-01
5.4000e-01   9.266547e-01    7.893542e-01   -7.893542e-01
5.5000e-01   9.533003e-01    7.799548e-01   -7.799548e-01
5.6000e-01   9.803881e-01    7.702866e-01   -7.702866e-01
5.7000e-01   1.007924e+00    7.603452e-01   -7.603452e-01
5.8000e-01   1.035915e+00    7.501261e-01   -7.501261e-01
5.9000e-01   1.064366e+00    7.396247e-01   -7.396247e-01
6.0000e-01   1.093285e+00    7.288364e-01   -7.288364e-01
6.1000e-01   1.122678e+00    7.177566e-01   -7.177566e-01
6.2000e-01   1.152550e+00    7.063805e-01   -7.063805e-01
6.3000e-01   1.182910e+00    6.947033e-01   -6.947033e-01
6.4000e-01   1.213764e+00    6.827202e-01   -6.827202e-01
6.5000e-01   1.245118e+00    6.704263e-01   -6.704263e-01
6.6000e-01   1.276979e+00    6.578163e-01   -6.578163e-01
6.7000e-01   1.309355e+00    6.448852e-01   -6.448852e-01
6.8000e-01   1.342253e+00    6.316276e-01   -6.316276e-01
6.9000e-01   1.375680e+00    6.180384e-01   -6.180384e-01
7.0000e-01   1.409644e+00    6.041122e-01   -6.041122e-01
7.1000e-01   1.444151e+00    5.898436e-01   -5.898436e-01
7.2000e-01   1.479209e+00    5.752272e-01   -5.752272e-01
7.3000e-01   1.514826e+00    5.602574e-01   -5.602574e-01
7.4000e-01   1.551010e+00    5.449286e-01   -5.449286e-01
7.5000e-01   1.587768e+00    5.292350e-01   -5.292350e-01
7.6000e-01   1.625109e+00    5.131709e-01   -5.131709e-01
7.7000e-01   1.663039e+00    4.967304e-01   -4.967304e-01
7.8000e-01   1.701568e+00    4.799076e-01   -4.799076e-01
7.9000e-01   1.740704e+00    4.626965e-01   -4.626965e-01
8.0000e-01   1.780454e+00    4.450910e-01   -4.450910e-01
8.1000e-01   1.820827e+00    4.270849e-01   -4.270849e-01
8.2000e-01   1.861832e+00    4.086720e-01   -4.086720e-01
8.3000e-01   1.903477e+00    3.898458e-01   -3.898458e-01
8.4000e-01   1.945771e+00    3.706001e-01   -3.706001e-01
8.5000e-01   1.988723e+00    3.509281e-01   -3.509281e-01
8.6000e-01   2.032342e+00    3.308233e-01   -3.308233e-01
8.7000e-01   2.076636e+00    3.102788e-01   -3.102788e-01
8.8000e-01   2.121616e+00    2.892879e-01   -2.892879e-01
8.9000e-01   2.167290e+00    2.678437e-01   -2.678437e-01
9.0000e-01   2.213668e+00    2.459391e-01   -2.459391e-01
9.1000e-01   2.260760e+00    2.235672e-01   -2.235672e-01
9.2000e-01   2.308574e+00    2.007206e-01   -2.007206e-01
9.3000e-01   2.357122e+00    1.773922e-01   -1.773922e-01
9.4000e-01   2.406412e+00    1.535746e-01   -1.535746e-01
9.5000e-01   2.456455e+00    1.292602e-01   -1.292602e-01
9.6000e-01   2.507260e+00    1.044416e-01   -1.044416e-01
9.7000e-01   2.558839e+00    7.911112e-02   -7.911112e-02
9.8000e-01   2.611201e+00    5.326092e-02   -5.326092e-02
9.9000e-01   2.664357e+00    2.688316e-02   -2.688316e-02
1.0000e+00   2.718318e+00   -3.010355e-05    3.010355e-05
1.0037e+00   2.738239e+00   -1.000000e-02    1.000000e-02
1.0100e+00   2.773094e+00   -2.748695e-02    2.748695e-02
1.0200e+00   2.828697e+00   -5.549555e-02    5.549555e-02
1.0300e+00   2.885136e+00   -8.406418e-02    8.406418e-02
1.0400e+00   2.942425e+00   -1.132012e-01    1.132012e-01
1.0500e+00   3.000573e+00   -1.429155e-01    1.429155e-01
1.0600e+00   3.059593e+00   -1.732157e-01    1.732157e-01
1.0700e+00   3.119497e+00   -2.041106e-01    2.041106e-01
1.0800e+00   3.180295e+00   -2.356091e-01    2.356091e-01
1.0900e+00   3.242001e+00   -2.677202e-01    2.677202e-01
1.1000e+00   3.304626e+00   -3.004531e-01    3.004531e-01
1.1100e+00   3.368183e+00   -3.338170e-01    3.338170e-01
1.1200e+00   3.432683e+00   -3.678213e-01    3.678213e-01
1.1300e+00   3.498140e+00   -4.024754e-01    4.024754e-01
1.1400e+00   3.564565e+00   -4.377891e-01    4.377891e-01
1.1500e+00   3.631973e+00   -4.737719e-01    4.737719e-01
1.1600e+00   3.700376e+00   -5.104338e-01    5.104338e-01
1.1700e+00   3.769786e+00   -5.477848e-01    5.477848e-01
1.1800e+00   3.840218e+00   -5.858349e-01    5.858349e-01
1.1900e+00   3.911685e+00   -6.245945e-01    6.245945e-01
1.2000e+00   3.984200e+00   -6.640739e-01    6.640739e-01
1.2100e+00   4.057778e+00   -7.042836e-01    7.042836e-01
